station_name,station_no,ts_id
East Kittsondale,CRWD2,10207010
Villa Park Outlet,CRWD10,10171010
Willow Reserve - Outlet,CRWD32,19331010
AHUG Inlet,CRWD14,10155010
CRWD Aldine Outlet,CRWD153,19424010
B-Dale Outlet,CRWD41,28627010
Como 3 | Como D,CRWD21,11069010
Como 7 | Como B5,CRWD6,10194010
Como B5 Outlet | Como B5,1069,22871010
Upper Villa Inlet,CRWD80,10214010
Villa Park Outlet,CRWD10,10216010
Willow Reserve - Inlet,CRWD31,19326010
Trout Brook - East Branch,CRWD8,10229010
Trout Brook - West Branch,CRWD4,10230010
